Coverage	Total_chains	Assembled	Percentage_Assembled	Productive	Percentage_Productive	Sensitivity	Method	Chain	Dataset	Read_Length
1M250K	113	107	0.95	107	0.95	0.79	BASIC	Heavy	Canzar	50
1M	113	107	0.95	107	0.95	0.81	BASIC	Heavy	Canzar	50
750K	113	106	0.94	106	0.94	0.8	BASIC	Heavy	Canzar	50
500K	113	108	0.96	108	0.96	0.83	BASIC	Heavy	Canzar	50
250K	113	107	0.95	107	0.95	0.82	BASIC	Heavy	Canzar	50
100K	113	107	0.95	107	0.95	0.8	BASIC	Heavy	Canzar	50
50K	113	108	0.96	108	0.96	0.81	BASIC	Heavy	Canzar	50
1M250K	113	109	0.96	109	0.96	0.63	BALDR	Heavy	Canzar	50
1M	113	109	0.96	109	0.96	0.63	BALDR	Heavy	Canzar	50
750K	113	109	0.96	109	0.96	0.63	BALDR	Heavy	Canzar	50
500K	113	109	0.96	109	0.96	0.63	BALDR	Heavy	Canzar	50
250K	113	109	0.96	109	0.96	0.63	BALDR	Heavy	Canzar	50
100K	113	109	0.96	109	0.96	0.63	BALDR	Heavy	Canzar	50
50K	113	109	0.96	109	0.96	0.63	BALDR	Heavy	Canzar	50
1M250K	113	0	0	0	0	0	BRACER	Heavy	Canzar	50
1M	113	0	0	0	0	0	BRACER	Heavy	Canzar	50
750K	113	0	0	0	0	0	BRACER	Heavy	Canzar	50
500K	113	0	0	0	0	0	BRACER	Heavy	Canzar	50
250K	113	0	0	0	0	0	BRACER	Heavy	Canzar	50
100K	113	0	0	0	0	0	BRACER	Heavy	Canzar	50
50K	113	0	0	0	0	0	BRACER	Heavy	Canzar	50
1M250K	113	101	0.89	101	0.89	0.29	VDJpuzzle	Heavy	Canzar	50
1M	113	104	0.92	104	0.92	0.29	VDJpuzzle	Heavy	Canzar	50
750K	113	106	0.94	106	0.94	0.29	VDJpuzzle	Heavy	Canzar	50
500K	113	99	0.88	99	0.88	0.29	VDJpuzzle	Heavy	Canzar	50
250K	113	105	0.93	105	0.93	0.29	VDJpuzzle	Heavy	Canzar	50
100K	113	104	0.92	104	0.92	0.29	VDJpuzzle	Heavy	Canzar	50
50K	113	107	0.95	107	0.95	0.29	VDJpuzzle	Heavy	Canzar	50
1M250K	113	95	0.84	85	0.75	0.61	MIXCR	Heavy	Canzar	50
1M	113	95	0.84	84	0.74	0.58	MIXCR	Heavy	Canzar	50
750K	113	95	0.84	86	0.76	0.57	MIXCR	Heavy	Canzar	50
500K	113	93	0.82	83	0.73	0.57	MIXCR	Heavy	Canzar	50
250K	113	92	0.81	86	0.76	0.54	MIXCR	Heavy	Canzar	50
100K	113	90	0.8	83	0.73	0.51	MIXCR	Heavy	Canzar	50
50K	113	87	0.77	82	0.73	0.42	MIXCR	Heavy	Canzar	50
1M250K	113	95	0.84	85	0.75	0.61	TRUST4	Heavy	Canzar	50
1M	113	95	0.84	84	0.74	0.58	TRUST4	Heavy	Canzar	50
750K	113	95	0.84	86	0.76	0.57	TRUST4	Heavy	Canzar	50
500K	113	93	0.82	83	0.73	0.57	TRUST4	Heavy	Canzar	50
250K	113	92	0.81	86	0.76	0.54	TRUST4	Heavy	Canzar	50
100K	113	90	0.8	83	0.73	0.51	TRUST4	Heavy	Canzar	50
50K	113	87	0.77	82	0.73	0.42	TRUST4	Heavy	Canzar	50
1M250K	119	108	0.91	108	0.91	0.89	BASIC	Light	Canzar	50
1M	119	107	0.9	107	0.9	0.88	BASIC	Light	Canzar	50
750K	119	107	0.9	107	0.9	0.88	BASIC	Light	Canzar	50
500K	119	107	0.9	107	0.9	0.87	BASIC	Light	Canzar	50
250K	119	107	0.9	107	0.9	0.88	BASIC	Light	Canzar	50
100K	119	107	0.9	107	0.9	0.88	BASIC	Light	Canzar	50
50K	119	106	0.89	106	0.89	0.87	BASIC	Light	Canzar	50
1M250K	119	107	0.9	107	0.9	0.82	BALDR	Light	Canzar	50
1M	119	107	0.9	107	0.9	0.82	BALDR	Light	Canzar	50
750K	119	107	0.9	107	0.9	0.82	BALDR	Light	Canzar	50
500K	119	107	0.9	107	0.9	0.82	BALDR	Light	Canzar	50
250K	119	107	0.9	107	0.9	0.82	BALDR	Light	Canzar	50
100K	119	107	0.9	107	0.9	0.82	BALDR	Light	Canzar	50
50K	119	107	0.9	107	0.9	0.82	BALDR	Light	Canzar	50
1M250K	119	109	0.92	109	0.92	0.89	BRACER	Light	Canzar	50
1M	119	109	0.92	109	0.92	0.86	BRACER	Light	Canzar	50
750K	119	109	0.92	109	0.92	0.87	BRACER	Light	Canzar	50
500K	119	109	0.92	109	0.92	0.86	BRACER	Light	Canzar	50
250K	119	109	0.92	109	0.92	0.87	BRACER	Light	Canzar	50
100K	119	109	0.92	109	0.92	0.89	BRACER	Light	Canzar	50
50K	119	108	0.91	108	0.91	0.89	BRACER	Light	Canzar	50
1M250K	119	87	0.73	87	0.73	0.44	VDJpuzzle	Light	Canzar	50
1M	119	108	0.91	108	0.91	0.61	VDJpuzzle	Light	Canzar	50
750K	119	108	0.91	108	0.91	0.61	VDJpuzzle	Light	Canzar	50
500K	119	108	0.91	108	0.91	0.61	VDJpuzzle	Light	Canzar	50
250K	119	108	0.91	108	0.91	0.61	VDJpuzzle	Light	Canzar	50
100K	119	108	0.91	108	0.91	0.61	VDJpuzzle	Light	Canzar	50
50K	119	107	0.9	107	0.9	0.61	VDJpuzzle	Light	Canzar	50
1M250K	119	111	0.93	106	0.89	0.8	MIXCR	Light	Canzar	50
1M	119	111	0.93	106	0.89	0.8	MIXCR	Light	Canzar	50
750K	119	111	0.93	104	0.87	0.78	MIXCR	Light	Canzar	50
500K	119	111	0.93	104	0.87	0.78	MIXCR	Light	Canzar	50
250K	119	110	0.92	103	0.87	0.77	MIXCR	Light	Canzar	50
100K	119	108	0.91	104	0.87	0.78	MIXCR	Light	Canzar	50
50K	119	107	0.9	102	0.86	0.78	MIXCR	Light	Canzar	50
1M250K	119	111	0.93	106	0.89	0.8	TRUST4	Light	Canzar	50
1M	119	111	0.93	106	0.89	0.8	TRUST4	Light	Canzar	50
750K	119	111	0.93	104	0.87	0.78	TRUST4	Light	Canzar	50
500K	119	111	0.93	104	0.87	0.78	TRUST4	Light	Canzar	50
250K	119	110	0.92	103	0.87	0.77	TRUST4	Light	Canzar	50
100K	119	108	0.91	104	0.87	0.78	TRUST4	Light	Canzar	50
50K	119	107	0.9	102	0.86	0.78	TRUST4	Light	Canzar	50
1M250K	113	87	0.77	87	0.77	0.54	BASIC	Heavy	Canzar	25
1M	113	87	0.77	87	0.77	0.54	BASIC	Heavy	Canzar	25
750K	113	85	0.75	85	0.75	0.54	BASIC	Heavy	Canzar	25
500K	113	86	0.76	86	0.76	0.54	BASIC	Heavy	Canzar	25
250K	113	86	0.76	86	0.76	0.54	BASIC	Heavy	Canzar	25
100K	113	86	0.76	86	0.76	0.54	BASIC	Heavy	Canzar	25
50K	113	86	0.76	86	0.76	0.54	BASIC	Heavy	Canzar	25
1M250K	113	0	0	0	0	0	BALDR	Heavy	Canzar	25
1M	113	0	0	0	0	0	BALDR	Heavy	Canzar	25
750K	113	0	0	0	0	0	BALDR	Heavy	Canzar	25
500K	113	0	0	0	0	0	BALDR	Heavy	Canzar	25
250K	113	0	0	0	0	0	BALDR	Heavy	Canzar	25
100K	113	0	0	0	0	0	BALDR	Heavy	Canzar	25
50K	113	0	0	0	0	0	BALDR	Heavy	Canzar	25
1M250K	113	0	0	0	0	0	BRACER	Heavy	Canzar	25
1M	113	0	0	0	0	0	BRACER	Heavy	Canzar	25
750K	113	0	0	0	0	0	BRACER	Heavy	Canzar	25
500K	113	0	0	0	0	0	BRACER	Heavy	Canzar	25
250K	113	0	0	0	0	0	BRACER	Heavy	Canzar	25
100K	113	0	0	0	0	0	BRACER	Heavy	Canzar	25
50K	113	0	0	0	0	0	BRACER	Heavy	Canzar	25
1M250K	113	0	0	0	0	0	VDJpuzzle	Heavy	Canzar	25
1M	113	0	0	0	0	0	VDJpuzzle	Heavy	Canzar	25
750K	113	0	0	0	0	0	VDJpuzzle	Heavy	Canzar	25
500K	113	0	0	0	0	0	VDJpuzzle	Heavy	Canzar	25
250K	113	0	0	0	0	0	VDJpuzzle	Heavy	Canzar	25
100K	113	0	0	0	0	0	VDJpuzzle	Heavy	Canzar	25
50K	113	0	0	0	0	0	VDJpuzzle	Heavy	Canzar	25
1M250K	113	0	0	0	0	0	MIXCR	Heavy	Canzar	25
1M	113	0	0	0	0	0	MIXCR	Heavy	Canzar	25
750K	113	0	0	0	0	0	MIXCR	Heavy	Canzar	25
500K	113	0	0	0	0	0	MIXCR	Heavy	Canzar	25
250K	113	0	0	0	0	0	MIXCR	Heavy	Canzar	25
100K	113	0	0	0	0	0	MIXCR	Heavy	Canzar	25
50K	113	0	0	0	0	0	MIXCR	Heavy	Canzar	25
1M250K	113	0	0	0	0	0	TRUST4	Heavy	Canzar	25
1M	113	0	0	0	0	0	TRUST4	Heavy	Canzar	25
750K	113	0	0	0	0	0	TRUST4	Heavy	Canzar	25
500K	113	0	0	0	0	0	TRUST4	Heavy	Canzar	25
250K	113	0	0	0	0	0	TRUST4	Heavy	Canzar	25
100K	113	0	0	0	0	0	TRUST4	Heavy	Canzar	25
50K	113	0	0	0	0	0	TRUST4	Heavy	Canzar	25
1M250K	119	107	0.9	107	0.9	0.89	BASIC	Light	Canzar	25
1M	119	107	0.9	107	0.9	0.89	BASIC	Light	Canzar	25
750K	119	106	0.89	106	0.89	0.88	BASIC	Light	Canzar	25
500K	119	106	0.89	106	0.89	0.88	BASIC	Light	Canzar	25
250K	119	106	0.89	106	0.89	0.88	BASIC	Light	Canzar	25
100K	119	106	0.89	106	0.89	0.88	BASIC	Light	Canzar	25
50K	119	106	0.89	106	0.89	0.88	BASIC	Light	Canzar	25
1M250K	119	0		0		0	BALDR	Light	Canzar	25
1M	119	0		0		0	BALDR	Light	Canzar	25
750K	119	0		0		0	BALDR	Light	Canzar	25
500K	119	0		0		0	BALDR	Light	Canzar	25
250K	119	0		0		0	BALDR	Light	Canzar	25
100K	119	0		0		0	BALDR	Light	Canzar	25
50K	119	0		0		0	BALDR	Light	Canzar	25
1M250K	119	0		0		0	BRACER	Light	Canzar	25
1M	119	0		0		0	BRACER	Light	Canzar	25
750K	119	0		0		0	BRACER	Light	Canzar	25
500K	119	0		0		0	BRACER	Light	Canzar	25
250K	119	0		0		0	BRACER	Light	Canzar	25
100K	119	0		0		0	BRACER	Light	Canzar	25
50K	119	0		0		0	BRACER	Light	Canzar	25
1M250K	119	0		0		0	VDJpuzzle	Light	Canzar	25
1M	119	0		0		0	VDJpuzzle	Light	Canzar	25
750K	119	0		0		0	VDJpuzzle	Light	Canzar	25
500K	119	0		0		0	VDJpuzzle	Light	Canzar	25
250K	119	0		0		0	VDJpuzzle	Light	Canzar	25
100K	119	0		0		0	VDJpuzzle	Light	Canzar	25
50K	119	0		0		0	VDJpuzzle	Light	Canzar	25
1M250K	119	0		0		0	MIXCR	Light	Canzar	25
1M	119	0		0		0	MIXCR	Light	Canzar	25
750K	119	0		0		0	MIXCR	Light	Canzar	25
500K	119	0		0		0	MIXCR	Light	Canzar	25
250K	119	0		0		0	MIXCR	Light	Canzar	25
100K	119	0		0		0	MIXCR	Light	Canzar	25
50K	119	0		0		0	MIXCR	Light	Canzar	25
1M250K	119	0		0		0	TRUST4	Light	Canzar	25
1M	119	0		0		0	TRUST4	Light	Canzar	25
750K	119	0		0		0	TRUST4	Light	Canzar	25
500K	119	0		0		0	TRUST4	Light	Canzar	25
