	Total_chains	Assembled	Percentage_Assembled	Productive	Percentage_Productive	Accuracy	Method	Chain
SHM15	100	76	76%	48	48%	0.73	BASIC	Heavy
SHM30	100	70	70%	44	44%	0.55	BASIC	Heavy
SHM45	100	74	74%	44	44%	0.78	BASIC	Heavy
SHM60	100	78	78%	45	45%	0.57	BASIC	Heavy
SHM15	100	71	71%	57	57%	1.00	BASIC	Light Kappa
SHM30	100	72	72%	46	46%	0.98	BASIC	Light Kappa
SHM45	100	72	72%	44	44%	0.98	BASIC	Light Kappa
SHM60	100	63	63%	42	42%	0.98	BASIC	Light Kappa
SHM15	100	66	66%	32	32%	0.97	BASIC	Light Lambda
SHM30	100	64	64%	34	34%	0.9	BASIC	Light Lambda
SHM45	100	58	58%	20	20%	0.8	BASIC	Light Lambda
SHM60	100	68	68%	36	36%	0.77	BASIC	Light Lambda
SHM15	100	100	100%	85	85%	0.92	BRACER	Heavy
SHM30	100	100	100%	85	85%	0.95	BRACER	Heavy
SHM45	100	100	100%	74	74%	0.96	BRACER	Heavy
SHM60	100	100	100%	68	68%	0.96	BRACER	Heavy
SHM15	100	100	100%	79	79%	0.99	BRACER	Light Kappa
SHM30	100	100	100%	67	67%	0.97	BRACER	Light Kappa
SHM45	100	100	100%	43	43%	0.98	BRACER	Light Kappa
SHM60	100	100	100%	46	46%	0.98	BRACER	Light Kappa
SHM15	100	100	100%	45	45%	0.98	BRACER	Light Lambda
SHM30	100	100	100%	47	47%	0.95	BRACER	Light Lambda
SHM45	100	100	100%	36	36%	0.97	BRACER	Light Lambda
SHM60	100	100	100%	35	35%	0.95	BRACER	Light Lambda
SHM15	100	94	94%	84	84%	0.89	MIXCR	Heavy
SHM30	100	76	76%	64	64%	0.88	MIXCR	Heavy
SHM45	100	62	62%	54	54%	0.87	MIXCR	Heavy
SHM60	100	41	41%	36	36%	0.87	MIXCR	Heavy
SHM15	100	60	60%	50	50%	0.76	MIXCR	Light Lambda
SHM30	100	45	45%	35	35%	0.84	MIXCR	Light Lambda
SHM45	100	36	36%	24	24%	0.83	MIXCR	Light Lambda
SHM60	100	31	31%	18	18%	0.65	MIXCR	Light Lambda
SHM15	100	51	51%	26	26%	0.8	MIXCR	Light Kappa
SHM30	100	40	40%	19	19%	0.9	MIXCR	Light Kappa
SHM45	100	37	37%	20	20%	0.75	MIXCR	Light Kappa
SHM60	100	19	19%	12	12%	0.57	MIXCR	Light Kappa
SHM15	100	92	92%	92	92%	0.91	BALDR	Heavy
SHM30	100	92	92%	92	92%	0.83	BALDR	Heavy
SHM45	100	91	91%	91	91%	0.66	BALDR	Heavy
SHM60	100	88	88%	88	88%	0.69	BALDR	Heavy
SHM15	100	66	66%	66	66%	0.9	BALDR	Light Kappa
SHM30	100	47	47%	47	47%	0.84	BALDR	Light Kappa
SHM45	100	48	48%	48	48%	0.76	BALDR	Light Kappa
SHM60	100	63	63%	63	63%	0.82	BALDR	Light Kappa
SHM15	100	83	83%	83	83%	0.97	BALDR	Light Lambda
SHM30	100	81	81%	81	81%	0.9	BALDR	Light Lambda
SHM45	100	75	75%	75	75%	0.9	BALDR	Light Lambda
SHM60	100	80	80%	80	80%	0.87	BALDR	Light Lambda
SHM15	100	63	63%	63	63%	0.72	VDJpuzzle	Heavy
SHM30	100	39	39%	39	39%	0.54	VDJpuzzle	Heavy
SHM45	100	16	16%	16	16%	0.35	VDJpuzzle	Heavy
SHM60	100	3	3%	3	3%	0.26	VDJpuzzle	Heavy
SHM15	100	45	45%	45	45%	0.96	VDJpuzzle	Light Kappa
SHM30	100	31	31%	31	31%	0.82	VDJpuzzle	Light Kappa
SHM45	100	23	23%	23	23%	0.78	VDJpuzzle	Light Kappa
SHM60	100	3	3%	3	3%	0.52	VDJpuzzle	Light Kappa
SHM15	100	60	60%	60	60%	0.79	VDJpuzzle	Light Lambda
SHM30	100	49	49%	49	49%	0.75	VDJpuzzle	Light Lambda
SHM45	100	32	32%	32	32%	0.64	VDJpuzzle	Light Lambda
SHM60	100	25	25%	25	25%	0.48	VDJpuzzle	Light Lambda
SHM15	100	99	99%	89	89%	0.87	TRUST4	Heavy
SHM30	100	91	91%	76	76%	0.85	TRUST4	Heavy
SHM45	100	83	83%	66	66%	0.87	TRUST4	Heavy
SHM60	100	67	67%	56	56%	0.71	TRUST4	Heavy
SHM15	100	87	87%	46	46%	0.87	TRUST4	Light Kappa
SHM30	100	77	77%	43	43%	0.88	TRUST4	Light Kappa
SHM45	100	65	65%	32	32%	0.92	TRUST4	Light Kappa
SHM60	100	42	42%	24	24%	0.83	TRUST4	Light Kappa
SHM15	100	97	97%	79	79%	0.81	TRUST4	Light Lambda
SHM30	100	89	89%	66	66%	0.73	TRUST4	Light Lambda
SHM45	100	74	74%	54	54%	0.68	TRUST4	Light Lambda
SHM60	100	51	51%	38	38%	0.62	TRUST4	Light Lambda
