Read_Length Time	Coverage	Method
100bp	557	50K	BRACER
100bp	665	50K	BRACER
100bp	677	50K	BRACER
100bp	686	50K	BRACER
100bp	562	50K	BRACER
100bp	597	50K	BRACER
100bp	670	50K	BRACER
100bp	671	50K	BRACER
100bp	608	50K	BRACER
100bp	665	50K	BRACER
100bp	566	50K	BRACER
100bp	569	50K	BRACER
100bp	663	50K	BRACER
100bp	659	50K	BRACER
100bp	570	50K	BRACER
100bp	663	50K	BRACER
100bp	651	50K	BRACER
100bp	569	50K	BRACER
100bp	649	50K	BRACER
100bp	563	50K	BRACER
100bp	575	50K	BRACER
100bp	635	50K	BRACER
100bp	552	50K	BRACER
100bp	556	50K	BRACER
100bp	643	50K	BRACER
100bp	565	50K	BRACER
100bp	572	50K	BRACER
100bp	654	50K	BRACER
100bp	558	50K	BRACER
100bp	556	50K	BRACER
100bp	560	50K	BRACER
100bp	575	50K	BRACER
100bp	643	50K	BRACER
100bp	40	50K	BRACER
100bp	556	50K	BRACER
100bp	573	50K	BRACER
100bp	576	50K	BRACER
100bp	568	50K	BRACER
100bp	562	50K	BRACER
100bp	640	50K	BRACER
75bp	551	50K	BRACER
75bp	662	50K	BRACER
75bp	663	50K	BRACER
75bp	661	50K	BRACER
75bp	640	50K	BRACER
75bp	638	50K	BRACER
75bp	630	50K	BRACER
75bp	631	50K	BRACER
75bp	640	50K	BRACER
75bp	640	50K	BRACER
75bp	642	50K	BRACER
75bp	1172	50K	BRACER
75bp	641	50K	BRACER
75bp	609	50K	BRACER
75bp	604	50K	BRACER
75bp	619	50K	BRACER
75bp	569	50K	BRACER
75bp	599	50K	BRACER
75bp	600	50K	BRACER
75bp	616	50K	BRACER
75bp	623	50K	BRACER
75bp	622	50K	BRACER
75bp	662	50K	BRACER
75bp	565	50K	BRACER
75bp	641	50K	BRACER
75bp	634	50K	BRACER
75bp	581	50K	BRACER
75bp	554	50K	BRACER
75bp	605	50K	BRACER
75bp	573	50K	BRACER
75bp	555	50K	BRACER
75bp	627	50K	BRACER
75bp	552	50K	BRACER
75bp	622	50K	BRACER
75bp	581	50K	BRACER
75bp	677	50K	BRACER
75bp	668	50K	BRACER
75bp	646	50K	BRACER
75bp	645	50K	BRACER
75bp	662	50K	BRACER
50bp	659	50K	BRACER
50bp	662	50K	BRACER
50bp	651	50K	BRACER
50bp	665	50K	BRACER
50bp	649	50K	BRACER
50bp	662	50K	BRACER
50bp	664	50K	BRACER
50bp	662	50K	BRACER
50bp	666	50K	BRACER
50bp	653	50K	BRACER
50bp	659	50K	BRACER
50bp	673	50K	BRACER
50bp	656	50K	BRACER
50bp	649	50K	BRACER
50bp	660	50K	BRACER
50bp	557	50K	BRACER
50bp	598	50K	BRACER
50bp	549	50K	BRACER
50bp	638	50K	BRACER
50bp	549	50K	BRACER
50bp	663	50K	BRACER
50bp	660	50K	BRACER
50bp	658	50K	BRACER
50bp	28	50K	BRACER
50bp	547	50K	BRACER
50bp	629	50K	BRACER
50bp	623	50K	BRACER
50bp	564	50K	BRACER
50bp	599	50K	BRACER
50bp	640	50K	BRACER
50bp	559	50K	BRACER
50bp	636	50K	BRACER
50bp	639	50K	BRACER
50bp	676	50K	BRACER
50bp	610	50K	BRACER
50bp	672	50K	BRACER
50bp	655	50K	BRACER
50bp	639	50K	BRACER
50bp	666	50K	BRACER
50bp	662	50K	BRACER
25bp	27	50K	BRACER
25bp	27	50K	BRACER
25bp	27	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	25	50K	BRACER
25bp	27	50K	BRACER
25bp	26	50K	BRACER
25bp	27	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	25	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	27	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	25	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	25	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	25	50K	BRACER
25bp	26	50K	BRACER
25bp	27	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
25bp	26	50K	BRACER
100bp	17	50K	MIXCR
100bp	16	50K	MIXCR
100bp	18	50K	MIXCR
100bp	18	50K	MIXCR
100bp	19	50K	MIXCR
100bp	19	50K	MIXCR
100bp	16	50K	MIXCR
100bp	15	50K	MIXCR
100bp	15	50K	MIXCR
100bp	16	50K	MIXCR
100bp	19	50K	MIXCR
100bp	16	50K	MIXCR
100bp	18	50K	MIXCR
100bp	18	50K	MIXCR
100bp	18	50K	MIXCR
100bp	19	50K	MIXCR
100bp	16	50K	MIXCR
100bp	16	50K	MIXCR
100bp	16	50K	MIXCR
100bp	19	50K	MIXCR
100bp	19	50K	MIXCR
100bp	19	50K	MIXCR
100bp	17	50K	MIXCR
100bp	16	50K	MIXCR
100bp	19	50K	MIXCR
100bp	19	50K	MIXCR
100bp	19	50K	MIXCR
100bp	19	50K	MIXCR
100bp	19	50K	MIXCR
100bp	19	50K	MIXCR
100bp	19	50K	MIXCR
100bp	19	50K	MIXCR
100bp	19	50K	MIXCR
100bp	18	50K	MIXCR
