sequence_id  productive  v_call                                   d_call                                         j_call                      Chain
PW1-A1_HC    F           IGHV1-46*01                              IGHD6-13*01                                    IGHJ4*02,IGHJ5*02           HC
PW1-A4_HC    T           IGHV3-23*01,IGHV3-23*04,IGHV3-23D*01     IGHD4-17*01                                    IGHJ6*02                    HC
PW1-A6_HC    T           IGHV3-43*02                              IGHD1-14*01                                    IGHJ4*02,IGHJ5*02           HC
PW1-B1_HC    T           IGHV3-7*03	NA                               IGHJ4*02                                       HC                          
PW1-B3_HC    T           IGHV3-11*06                              IGHD3-10*01                                    IGHJ4*02                    HC
PW1-B4_HC    T           IGHV3-49*04                              IGHD6-6*01                                     IGHJ6*02                    HC
PW1-B6_HC    T           IGHV3-48*03                              IGHD6-6*01                                     IGHJ4*02                    HC
PW1-C1_HC    T           IGHV3-23*01,IGHV3-23*04,IGHV3-23D*01     IGHD5-18*01,IGHD5-5*01                         IGHJ4*02,IGHJ5*02           HC
PW1-C4_HC    T           IGHV3-15*01,IGHV3-15*02                  IGHD6-25*01                                    IGHJ4*02                    HC
PW1-C5_HC    F           IGHV3-30*03,IGHV3-30*04,IGHV3-30*14      IGHD6-13*01                                    IGHJ6*02                    HC
PW2_A11_HC   T           IGHV4-4*09                               IGHD5-24*01                                    IGHJ6*02                    HC
PW2_A12_HC   T           IGHV4-59*08                              IGHD2-21*01,IGHD2-21*02                        IGHJ4*02                    HC
PW2_A2_HC    T           IGHV3-48*03                              IGHD2-21*01,IGHD4-17*01                        IGHJ4*02                    HC
PW2_A3_HC    T           IGHV1-3*04                               IGHD4-23*01                                    IGHJ6*02                    HC
PW2_A4_HC    T           IGHV3-7*03                               IGHD3-22*01                                    IGHJ3*02                    HC
PW2_A5_HC    F           IGHV3-7*01                               IGHD2-21*01                                    IGHJ4*02                    HC
PW2_A6_HC    T           IGHV4-61*03                              IGHD5-12*01                                    IGHJ1*01,IGHJ4*02,IGHJ4*03  HC
PW2_A7_HC    F           IGHV2-26*01                              IGHD2-21*01                                    IGHJ4*02                    HC
PW2_A8_HC    T           IGHV1-3*01,IGHV1-3*05	HC                    IGHJ4*01,IGHJ4*02                              HC                          
PW2_B10_HC   F           IGHV3-74*01,IGHV3-74*02,IGHV3-74*03      IGHD6-19*01                                    IGHJ4*02                    HC
